time,serviceboilerhe,brewboilerhe,pumpon
0084378468,0,0,0
0084465988,0,0,0
0084553508,0,0,0
0084641072,0,0,0
0084728568,0,0,0
0084815992,0,0,0
0084903372,0,0,0
0084990772,0,0,0
0085078196,0,0,0
0085165696,0,0,0
0085254436,0,127,0
0085341932,0,127,0
0085418544,0,127,0
0085506048,0,127,0
0085593508,0,127,0
0085681072,0,127,0
0085768532,0,0,0
0085855952,0,0,0
0085943376,0,0,0
0086019900,0,0,0
0086107324,0,0,0
0086195392,0,0,0
0086282932,0,0,0
0086359544,0,0,0
0086447068,0,0,0
0086534588,0,0,0
0086622152,0,0,0
0086709676,0,0,0
0086797052,0,0,0
0086884456,0,0,0
0086971896,0,0,0
0087059304,0,0,0
0087146780,0,0,0
0087235500,0,0,0
0087323020,0,127,0
0087410520,0,127,0
0087497964,0,127,0
0087585468,0,127,0
0087673052,0,127,0
0087760512,0,0,0
0087847940,0,0,0
0087935340,0,0,0
0088022764,0,0,0
0088110188,0,0,0
0088198196,0,0,0
0088286040,0,0,0
0088373564,0,0,0
0088450176,0,0,0
0088537696,0,0,0
0088625280,0,0,0
0088712800,0,0,0
0088800168,0,0,0
0088887584,0,0,0
0088975004,0,0,0
0089051536,0,0,0
0089139020,0,0,0
0089227720,0,0,0
0089315248,0,127,0
0089391808,0,127,0
0089479296,0,127,0
0089566800,0,127,0
0089654384,0,127,0
0089741844,0,0,0
0089829268,0,0,0
0089916688,0,0,0
0090004068,0,0,0
0090091496,0,0,0
0090179604,0,0,0
0090267124,0,0,0
0090354628,0,0,0
0090442128,0,0,0
0090529652,0,0,0
0090617172,0,0,0
0090704712,0,0,0
0090792140,0,0,0
0090879560,0,0,0
0090966968,0,0,0
0091054388,0,0,0
0091141888,0,0,0
0091230308,0,0,0
0091317828,0,0,0
0091405316,0,0,0
0091492816,0,0,0
0091580344,0,0,0
0091667908,0,0,0
0091755396,0,0,0
0091842796,0,0,0
0091930216,0,0,0
0092017640,0,0,0
0092105020,0,0,0
0092193152,0,0,0
0092280668,0,0,0
0092368156,0,0,0
0092455672,0,0,0
0092543200,0,0,0
0092630780,0,0,0
0092718288,0,0,0
0092805668,0,0,0
0092893092,0,0,0
0092980512,0,0,0
0093067928,0,0,0
0093155396,0,0,0
0093244456,0,0,0
0093331956,0,127,0
0093419464,0,127,0
0093506924,0,127,0
0093583556,0,0,0
0093671116,0,0,0
0093758584,0,0,0
0093846004,0,0,0
0093933432,0,0,0
0094020832,0,0,0
0094108216,0,0,0
0094185460,0,0,0
0094272964,0,0,0
0094360468,0,0,0
0094447988,0,0,0
0094524620,0,0,0
0094612140,0,0,0
0094699668,0,0,0
0094787088,0,0,0
0094874516,0,0,0
0094961936,0,0,0
0095049356,0,0,0
0095136840,0,0,0
0095225556,0,0,0
0095313064,0,127,0
0095400524,0,127,0
0095488032,0,127,0
0095575548,0,0,0
0095663140,0,0,0
0095750600,0,0,0
0095838024,0,0,0
0095925452,0,0,0
0096012852,0,0,0
0096100236,0,0,0
0096188364,0,0,0
0096275864,0,0,0
0096363392,0,0,0
0096450892,0,0,0
0096538408,0,0,0
0096625996,0,0,0
0096713496,0,0,0
0096800884,0,0,0
0096888280,0,0,0
0096975728,0,0,0
0097063148,0,0,0
0097150612,0,0,0
0097239352,0,0,0
0097315964,0,127,0
0097403424,0,127,0
0097490912,0,127,0
0097578432,0,0,0
0097666020,0,0,0
0097753496,0,0,0
0097840920,0,0,0
0097928324,0,0,0
0098015744,0,0,0
0098103128,0,0,0
0098191180,127,0,0
0098278992,127,0,0
0098366500,127,0,0
0098454000,127,0,0
0098541504,127,0,0
0098629064,127,0,0
0098716592,127,0,0
0098803948,127,0,0
0098891348,127,0,0
0098978776,127,0,0
0099066176,127,0,0
0099153660,127,0,0
0099242400,127,0,0
0099329904,0,127,0
0099417404,0,127,0
0099504864,0,127,0
0099592372,127,0,0
0099679972,127,0,0
0099767460,127,0,0
0099854880,127,0,0
0099942308,127,0,0
0100029728,127,0,0
0100117156,127,0,0
0100205168,127,0,0
0100292684,127,0,0
0100380192,127,0,0
0100467704,127,0,0
0100555208,127,0,0
0100642784,127,0,0
0100730272,127,0,0
0100817680,127,0,0
0100905048,127,0,0
0100992456,127,0,0
0101079864,127,0,0
0101167336,127,0,0
0101256088,0,127,0
0101343592,0,127,0
0101431104,0,127,0
0101518620,0,127,0
0101606088,127,0,0
0101693684,127,0,0
0101781152,127,0,0
0101868584,127,0,0
0101955996,127,0,0
0102043424,127,0,0
0102131500,127,0,0
0102218936,127,0,0
0102306388,127,0,0
0102393884,127,0,0
0102481412,127,0,0
0102568920,127,0,0
0102656484,127,0,0
0102743952,127,0,0
0102831380,127,0,0
0102918784,127,0,0
0103006136,127,0,0
0103093564,127,0,0
0103181048,127,0,0
0103259208,0,127,0
0103346732,0,127,0
0103434228,0,127,0
0103521712,0,127,0
0103609224,127,0,0
0103696812,127,0,0
0103784256,127,0,0
0103871688,127,0,0
0103959116,127,0,0
0104046548,127,0,0
0104134624,127,0,0
0104222032,127,0,0
0104309516,127,0,0
0104397012,127,0,0
0104484516,127,0,0
0104572008,127,0,0
0104659576,127,0,0
0104747068,127,0,0
