time,siga,sigb,sigc,pumpon,sige,sigf,sigg,sigh,sigt
0044128016,127,63,0,0,127,127,2,0,16
0044224548,127,63,0,0,127,127,2,0,16
0044309064,127,63,0,0,127,127,2,0,16
0044405660,127,63,0,0,127,127,2,0,16
0044489832,127,63,0,0,127,127,2,0,16
0044583916,127,63,0,0,127,127,2,0,16
0044666208,127,63,0,0,127,127,2,0,16
0044748560,127,63,0,0,127,127,2,0,16
0044842620,127,63,0,0,127,127,2,0,16
0044925016,127,0,127,0,127,127,2,7,23
0045008000,127,0,127,0,127,127,2,7,23
0045104544,127,0,127,0,127,127,2,7,23
0045189048,127,0,127,0,127,127,2,7,23
0045285576,127,0,127,0,127,127,2,7,23
0045370036,127,0,127,0,127,127,2,7,23
0045454600,127,0,127,0,127,127,2,7,23
0045537564,127,0,127,0,127,127,2,7,23
0045619920,127,0,127,0,127,127,2,7,23
0045713960,127,0,127,0,127,127,2,7,23
0045796324,127,0,127,0,127,127,2,7,23
0045878664,127,0,127,0,127,127,2,7,23
0045973860,127,63,0,0,127,127,2,0,16
0046058388,127,63,0,0,127,127,2,0,16
0046154920,127,63,0,0,127,127,2,0,16
0046239420,127,63,0,0,127,127,2,0,16
0046335940,127,63,0,0,127,127,2,0,16
0046420504,127,63,0,0,127,127,2,0,16
0046516108,127,63,0,0,127,127,2,0,16
0046598464,127,63,0,0,127,127,2,0,16
0046680800,127,63,0,0,127,127,2,0,16
0046774820,127,63,0,0,127,127,2,0,16
0046857164,127,63,0,0,127,127,2,0,16
0046939580,127,0,127,0,127,127,2,7,23
0047034900,127,0,127,0,127,127,2,7,23
0047119392,127,0,127,0,127,127,2,7,23
0047215924,127,0,127,0,127,127,2,7,23
0047300456,127,0,127,0,127,127,2,7,23
0047397028,127,0,127,0,127,127,2,7,23
0047481528,127,0,127,0,127,127,2,7,23
0047575552,127,0,127,0,127,127,2,7,23
0047657896,127,0,127,0,127,127,2,7,23
0047740236,127,0,127,0,127,127,2,7,23
0047834320,127,0,127,0,127,127,2,7,23
0047917832,127,63,0,0,127,127,2,0,16
0048000500,127,63,0,0,127,127,2,0,16
0048097028,127,63,0,0,127,127,2,0,16
0048181536,127,63,0,0,127,127,2,0,16
0048265996,127,63,0,0,127,127,2,0,16
0048350504,127,63,0,0,127,127,2,0,16
0048447096,127,63,0,0,127,127,2,0,16
0048530372,127,63,0,0,127,127,2,0,16
0048624432,127,63,0,0,127,127,2,0,16
0048706772,127,63,0,0,127,127,2,0,16
0048789128,127,63,0,0,127,127,2,0,16
0048871432,127,63,0,0,127,127,2,0,16
0048965556,127,0,127,0,127,127,2,7,23
0049049476,127,0,127,0,127,127,2,7,23
0049133980,127,0,127,0,127,127,2,7,23
0049218468,127,0,127,0,127,127,2,7,23
0049302992,127,0,127,0,127,127,2,7,23
0049387480,127,0,127,0,127,127,2,7,23
0049472024,127,0,127,0,127,127,2,7,23
0049566388,127,0,127,0,127,127,2,7,23
0049648728,127,0,127,0,127,127,2,7,23
0049731084,127,0,127,0,127,127,2,7,23
0049825148,127,0,127,0,127,127,2,7,23
0049908664,127,0,127,0,127,127,2,7,23
0049991044,127,63,0,0,127,127,2,0,16
0050087552,127,63,0,0,127,127,2,0,16
0050172020,127,63,0,0,127,127,2,0,16
0050268552,127,63,0,0,127,127,2,0,16
0050353064,127,63,0,0,127,127,2,0,16
0050437624,127,63,0,0,127,127,2,0,16
0050521224,127,63,0,0,127,127,2,0,16
0050615268,127,63,0,0,127,127,2,0,16
0050697608,127,63,0,0,127,127,2,0,16
0050779924,127,63,0,0,127,127,2,0,16
0050862272,127,63,0,0,127,127,2,0,16
0050956396,127,0,127,0,127,127,2,7,23
0051040316,127,0,127,0,127,127,2,7,23
0051124820,127,0,127,0,127,127,2,7,23
0051209332,127,0,127,0,127,127,2,7,23
0051293832,127,0,127,0,127,127,2,7,23
0051378300,127,0,127,0,127,127,2,7,23
0051462864,127,0,127,0,127,127,2,7,23
0051557556,127,0,127,0,127,127,2,7,23
0051639892,127,0,127,0,127,127,2,7,23
0051722236,127,0,127,0,127,127,2,7,23
0051816300,127,0,127,0,127,127,2,7,23
0051899808,127,0,127,0,127,127,2,7,23
0051982124,127,63,0,0,127,127,2,0,16
0052078352,127,63,0,0,127,127,2,0,16
0052162864,127,63,0,0,127,127,2,0,16
0052259392,127,63,0,0,127,127,2,0,16
0052343904,127,63,0,0,127,127,2,0,16
0052428468,127,63,0,0,127,127,2,0,16
0052512348,127,63,0,0,127,127,2,0,16
0052606404,127,63,0,0,127,127,2,0,16
0052688764,127,63,0,0,127,127,2,0,16
0052771056,127,63,0,0,127,127,2,0,16
0052853408,127,63,0,0,127,127,2,0,16
0052947532,127,0,127,0,127,127,2,7,23
0053030824,127,0,127,0,127,127,2,7,23
0053115324,127,0,127,0,127,127,2,7,23
0053199832,127,0,127,0,127,127,2,7,23
0053284336,127,0,127,0,127,127,2,7,23
0053368804,127,0,127,0,127,127,2,7,23
0053453364,127,0,127,0,127,127,2,7,23
0053548356,127,0,127,0,127,127,2,7,23
0053630712,127,0,127,0,127,127,2,7,23
0053713056,127,0,127,0,127,127,2,7,23
0053807120,127,0,127,0,127,127,2,7,23
0053889452,127,0,127,0,127,127,2,7,23
0053972928,127,63,0,0,127,127,2,0,16
0054068868,127,63,0,0,127,127,2,0,16
0054153372,127,63,0,0,127,127,2,0,16
0054249904,127,63,0,0,127,127,2,0,16
0054334412,127,63,0,0,127,127,2,0,16
