time,b2,b5,b8,b16,b11,b14
62913572,557,515,203,479,75,536
63003600,557,515,203,479,75,536
63083624,557,515,203,479,75,536
63173748,557,515,203,478,74,536
63263756,557,515,203,478,74,536
63353864,557,515,202,478,75,536
63433868,557,515,203,478,74,536
63524000,557,515,203,478,74,536
63614024,557,515,203,478,74,536
63704036,557,515,203,478,74,536
63784160,557,515,203,478,74,536
63874168,557,514,203,476,73,536
63964296,557,514,203,476,73,536
64054320,557,514,203,476,73,536
64134440,557,515,202,477,74,536
64224444,557,515,203,478,74,536
64314568,557,515,202,477,74,536
64404592,557,515,203,478,74,536
64484592,557,515,203,478,74,536
64574720,557,515,202,477,74,536
64664724,557,515,202,477,74,536
64754852,557,515,201,476,74,536
64834976,557,515,202,477,74,536
64924880,557,515,202,477,74,536
65015004,557,515,201,476,74,536
65095128,557,515,202,477,74,536
65175132,557,515,202,477,74,536
65265260,557,514,202,475,73,536
65355144,557,515,201,476,74,536
65445272,557,515,201,476,74,536
65525400,557,515,201,476,74,536
65615404,557,514,202,475,73,536
65705528,557,515,201,476,74,536
65785448,557,514,201,474,73,536
65865572,557,514,201,474,73,536
65955672,557,514,201,474,73,536
66045676,557,514,201,474,73,536
66125784,557,514,201,474,73,536
66205804,557,514,201,474,73,536
66295928,557,514,201,474,73,536
66385932,557,514,201,474,73,536
66466052,557,514,200,473,73,536
66556060,557,514,200,473,73,536
66646084,557,514,200,473,73,536
66736208,557,514,200,473,73,536
66816228,557,514,201,474,73,536
66906252,557,514,201,474,73,536
66996476,557,514,200,473,73,536
67076500,557,514,200,473,73,536
67156504,557,514,201,474,73,536
67246508,557,514,200,472,72,536
67336632,557,514,200,473,73,536
67416652,557,514,200,472,72,536
67496776,557,514,200,473,73,536
67586800,557,514,200,473,73,536
67676824,557,514,200,473,73,536
67756952,557,514,200,473,73,536
67847056,557,514,200,473,73,536
67937096,557,514,200,472,72,536
68027120,557,514,200,473,73,536
68107248,557,514,200,472,72,536
68197296,556,514,199,471,73,536
68287420,557,514,200,472,72,536
68377444,557,514,200,472,72,536
68457448,557,514,200,472,72,536
68547592,556,514,199,470,72,536
68637636,556,514,199,470,72,536
68727764,557,514,200,472,72,536
68807888,557,514,200,472,72,536
68897792,557,514,200,472,72,536
68987896,557,514,200,472,72,536
69078044,557,513,200,470,71,536
69158048,557,514,200,472,72,536
69248172,557,514,200,472,72,536
69338156,557,514,200,472,72,536
69428184,557,514,200,472,72,536
69508284,556,513,199,468,71,536
69598392,556,513,199,468,71,536
69688396,556,513,199,468,71,536
69778400,556,513,199,468,71,536
69858504,556,513,199,468,71,536
69948408,556,513,199,468,71,536
70038612,556,513,199,468,71,536
70128620,556,513,199,468,71,536
70208744,556,513,199,468,71,536
70298768,556,513,199,468,71,536
70388776,556,513,199,468,71,536
70478784,556,513,199,468,71,536
70558908,556,513,199,468,71,536
70649032,556,513,199,468,71,536
70739040,556,513,198,466,70,536
70829168,556,513,199,468,71,536
70909068,556,513,199,468,71,536
70999196,556,513,198,467,71,536
71089324,556,513,199,468,71,536
71169328,556,513,199,468,71,536
71249448,556,513,198,467,71,536
71339456,556,513,198,466,70,536
71429484,556,513,199,468,71,536
71509588,556,513,199,468,71,536
71589592,556,513,198,466,70,536
71679680,556,513,198,467,71,536
71769692,556,513,197,465,70,536
71849692,556,513,198,467,71,536
71939816,556,513,197,466,71,536
72029804,556,513,197,466,71,536
72119912,556,513,198,467,71,536
72199912,556,513,197,465,70,536
72289920,556,513,198,466,70,536
72380064,556,513,197,466,71,536
72470192,556,513,197,465,70,536
72550212,556,513,197,466,71,536
72640340,556,513,197,465,70,536
72730368,556,513,198,466,70,536
72820372,556,513,197,465,70,536
72900504,556,513,197,465,70,536
72990524,556,513,197,465,70,536
73080632,556,513,197,465,70,536
73160640,556,513,197,465,70,536
73240784,556,512,197,463,69,536
73330792,556,513,197,465,70,536
73420920,555,513,196,463,70,536
73510924,556,513,197,465,70,536
73591068,555,513,196,463,70,536
73681076,555,513,196,463,70,536
73771084,555,513,196,463,70,536
73861208,555,512,196,461,69,536
73941208,555,513,196,463,70,536
74031232,555,512,196,461,69,536
74121340,555,512,196,461,69,536
74211368,555,512,195,460,69,536
74291468,555,512,196,461,69,536
74381472,555,512,196,461,69,536
74471580,555,513,195,462,70,536
74551584,555,512,195,460,69,536
74631584,555,513,195,462,70,536
74721692,555,512,195,460,69,536
74811696,555,512,195,460,69,536
74891820,555,512,195,460,69,536
74981924,555,512,195,459,69,535
75071952,555,512,194,459,69,536
75161964,555,512,195,460,69,536
75242068,555,512,195,460,69,536
75322068,555,512,194,458,68,536
75412076,555,512,194,459,69,536
