time,b2,b5,b8,b16,b11
74180276,541,614,147,507,452
74270484,541,614,147,507,452
74360488,541,614,147,507,452
74460596,541,614,146,506,452
74550504,541,614,147,507,452
74640608,541,614,147,506,452
74730736,541,614,147,507,452
74830848,541,614,146,506,452
74920744,541,614,146,506,452
75010852,541,614,146,506,452
75100840,541,614,146,506,452
75200952,540,614,145,504,452
75290936,540,614,145,504,452
75391048,541,614,146,506,452
75481076,540,614,145,504,452
75571164,540,614,145,503,452
75661172,540,614,145,504,452
75761276,540,614,145,504,452
75851264,540,614,145,504,452
75941392,540,614,144,503,452
76031500,540,614,145,504,452
76131512,540,614,144,503,452
76221500,540,614,145,504,452
76311608,540,614,144,503,452
76411592,540,614,144,503,452
76501720,540,614,144,502,452
76591708,540,614,144,503,452
76681700,540,614,144,503,452
76781892,540,614,143,502,452
76871900,540,614,143,502,452
76961884,539,614,142,500,452
77051888,540,614,143,502,452
77151992,539,614,142,500,452
77241960,539,614,142,500,452
77342072,539,614,142,500,452
77432080,539,614,142,500,452
77522164,539,614,142,499,452
77612252,539,614,141,499,452
77712156,539,614,140,498,452
77802264,539,614,141,499,452
77892352,539,614,141,498,452
77982360,539,614,141,499,452
78072348,539,614,140,497,452
78172480,539,614,140,498,452
78262564,538,614,139,496,452
78362556,538,614,138,496,453
78452664,538,614,139,496,452
78542664,538,614,138,495,452
78632752,538,614,139,496,452
78732744,538,614,138,495,452
78822852,538,614,138,495,452
78912836,538,614,137,494,452
79002840,538,614,137,494,452
79102828,538,614,137,494,452
79193036,537,614,136,492,452
79293024,538,614,137,494,452
79383052,537,614,136,492,452
79473036,537,614,136,492,452
79563140,537,614,136,492,453
79663136,537,614,135,491,452
79753240,537,614,135,491,452
79843224,537,614,135,490,452
79933224,537,614,134,491,453
80023328,537,614,134,490,452
80123432,536,614,133,489,453
80213536,536,614,133,488,452
80313520,536,614,133,489,453
80403624,536,614,132,488,453
80493628,536,614,133,489,453
80583708,536,614,132,487,453
80683712,536,614,132,487,452
80773712,536,614,132,486,452
80863812,535,614,131,486,453
80953836,536,614,132,487,452
81053964,535,614,130,483,452
81143968,535,614,131,485,452
81234072,535,614,130,484,452
81334092,535,614,131,486,453
81424116,535,614,130,483,452
81514220,535,614,130,484,452
81614368,535,614,129,483,452
81704392,535,614,129,483,452
81794416,535,614,129,484,453
81884524,535,614,129,483,452
81974564,534,614,128,481,452
82074648,535,614,129,483,452
82164668,534,614,128,482,453
82264664,534,614,128,482,453
82354788,534,614,128,482,453
82444892,534,614,128,482,453
82544912,534,614,127,479,453
82634924,533,614,126,476,452
82725012,534,614,127,478,452
82815144,533,614,126,476,452
82905152,534,614,127,478,453
83005160,533,614,126,475,452
83095152,533,614,125,474,452
83185284,533,614,126,476,452
83285416,533,614,126,476,452
83375404,533,614,125,475,452
83465536,533,614,124,475,453
83565552,533,614,125,476,453
83655560,533,614,124,474,452
83745688,533,614,124,474,452
83835780,533,614,124,474,452
83925808,533,614,124,475,453
84025816,533,614,123,473,452
84115924,533,614,123,473,452
84205932,533,614,123,473,452
84306064,533,614,123,472,452
84396092,533,614,122,472,452
84496220,533,614,122,472,453
84586244,533,614,122,472,452
84676352,533,614,122,473,453
84766360,533,614,121,472,453
84856492,533,614,121,472,453
84956500,532,614,120,470,453
85046632,533,614,121,472,453
85136640,533,614,121,471,452
85236752,532,614,120,468,452
85326780,532,614,120,470,453
85416908,532,614,120,470,453
85516916,532,614,119,468,452
85606944,532,614,119,468,452
85697072,532,614,119,469,453
85787180,532,614,119,468,452
85877192,532,614,119,469,453
85977304,532,614,119,468,452
86067332,532,614,118,468,453
86157440,532,614,118,468,453
86257468,532,614,118,466,452
86347576,531,614,117,466,453
86437484,531,614,117,466,453
86537600,531,614,116,464,452
86627724,531,614,117,466,453
86717836,531,614,117,466,453
86807844,531,614,116,464,452
86907860,531,614,117,466,453
86997888,531,614,116,464,452
87088000,531,614,116,464,452
87188004,531,614,116,465,453
87278132,531,614,116,465,453
87368244,530,614,115,463,453
87468156,530,614,115,463,453
